,Headlines,Article Link,Date_Published
0,Ukraine dam: Dislodged mines a major concern as residents flee Kherson,https://www.bbc.com/news/world-europe-65835742,2023/06/07
1,Canada wildfires: Millions advised to mask up due to intense smoke,https://www.bbc.com/news/world-us-canada-65828469,2023/06/08
2,Mike Pence tears into Donald Trump at 2024 campaign launch,https://www.bbc.com/news/world-us-canada-65839793,2023/06/08
3,Affirmative action: Why this teen says he was rejected by top US colleges,https://www.bbc.com/news/world-us-canada-65792148,2023/06/07
4,Possible charges loom for Donald Trump over classified documents,https://www.bbc.com/news/world-us-canada-65839912,2023/06/08
5,Prince Harry says he is taking legal action to stop hate towards him and Meghan,https://www.bbc.com/news/uk-65831289,2023/06/07
6,Killing Eve star Jodie Comer halts Broadway show due to wildfire smoke,https://www.bbc.com/news/world-us-canada-65839794,2023/06/08
7,Scot Peterson: Parkland officer on trial for failing to stop shooting,https://www.bbc.com/news/world-us-canada-65836316,2023/06/07
8,Ukraine airdrops water bottles to people stranded by floods,https://www.bbc.com/news/world-europe-65837846,2023/06/07
9,Canada fires shroud New York City with orange haze,https://www.bbc.com/news/world-us-canada-65840256,2023/06/07
10,Lily Naing Kyaw: Killing of Myanmar singer unnerves pro-military celebrities,https://www.bbc.com/news/world-asia-65820272,2023/06/07
11,"Kathleen Folbigg: Misogyny helped jail her, science freed her",https://www.bbc.com/news/world-australia-65830799,2023/06/07
12,Australia: Watch moment trapped humpback whale is cut free,https://www.bbc.com/news/world-australia-65841142,2023/06/08
13,Ukraine dam: Maps and before and after images reveal scale of disaster,https://www.bbc.com/news/world-europe-65836103,2023/06/07
14,Ukraine dam: The city of Kherson which has had enough,https://www.bbc.com/news/world-europe-65833881,2023/06/07
15,Ukraine dam: What we know about Nova Kakhovka incident,https://www.bbc.com/news/world-europe-65818705,2023/06/07
16,Ros Atkins unpacks the Ukraine dam breach,https://www.bbc.com/news/world-europe-65829075,2023/06/06
17,How to keep safe from wildfire smoke in 80 seconds,https://www.bbc.com/news/world-us-canada-65840330,2023/06/07
18,US doctors forced to ration as cancer drug shortages hit nationwide,https://www.bbc.com/news/world-us-canada-65791190,2023/06/07
19,BBC Weather forecast on Canada wildfire smoke,https://www.bbc.com/news/world-us-canada-65715116,2023/06/07
20,The Flash: Critics give their views on Ezra Miller's DC superhero movie,https://www.bbc.com/news/entertainment-arts-65830526,2023/06/07
21,Australia: Watch moment thief gives up on liquor store robbery,https://www.bbc.com/news/world-australia-65830083,2023/06/07
22,Watch Hawaii's Kilauea volcano erupting in fiery display,https://www.bbc.com/news/world-us-canada-65837845,2023/06/07
23,Colorado wildlife officer frees bear from inside a car,https://www.bbc.com/news/world-us-canada-65828941,2023/06/06
24,Chris Mason: What Sunak is trying to achieve in the US,https://www.bbc.com/news/uk-politics-65829915,2023/06/07
25,The one thing Mike Pence needs to beat his old boss in 2024,https://www.bbc.com/news/world-us-canada-65814309,2023/06/07
26,Japan rethinks tattoo ban in defence forces to lift recruitment,https://www.bbc.com/news/world-asia-65830197,2023/06/07
27,"Francoise Gilot: Artist, writer and Picasso's former lover, dies at 101",https://www.bbc.com/news/entertainment-arts-65831824,2023/06/07
28,Sudan conflict: What to do with the dead bodies in Khartoum,https://www.bbc.com/news/world-africa-65787541,2023/06/08
29,Why Singapore is the only place in the world selling lab-grown meat,https://www.bbc.com/news/business-65784505,2023/06/08
30,Catching the men who sell subway groping videos,https://www.bbc.com/news/world-asia-65811838,2023/06/07
