,Headlines,Article Link,Date Published
0,Quotation of the Day:,https://www.nytimes.com/2023/06/08/pageoneplus/quotation-of-the-day.html,2023/06/08
1,Your Thursday Briefing,https://www.nytimes.com/2023/06/08/briefing/flooding-dam-ukraine-sudan-fighting.html,2023/06/08
2,And the Masks Came Back On: New York’s Day in Smoke,https://www.nytimes.com/2023/06/08/nyregion/and-the-masks-came-back-on-new-yorks-day-in-smoke.html,2023/06/08
3,Comer Cancels Wray Contempt Vote as F.B.I. Agrees to Share Document,https://www.nytimes.com/2023/06/07/us/politics/congress-wray-contempt-fbi-biden-document.html,2023/06/07
4,"In the South, the smoke brings hazy conditions.",https://www.nytimes.com/live/2023/06/07/us/canada-wildfires-air-quality-smoke/in-the-south-the-smoke-brings-hazy-conditions,2023/06/07
5,"The Iron Sheik, Villainous Hall of Fame Wrestler, Is Dead",https://www.nytimes.com/2023/06/07/arts/television/iron-sheik-dead.html,2023/06/07
6,One Who’s Bound to Succeed,https://www.nytimes.com/2023/06/07/crosswords/daily-puzzle-2023-06-08.html,2023/06/07
7,Canadian wildfires renew calls for a national fire service.,https://www.nytimes.com/live/2023/06/07/us/canada-wildfires-air-quality-smoke/canadian-wildfires-renew-calls-for-a-national-fire-service,2023/06/07
8,All About the Deep-Pocketed Saudi Wealth Fund That Rocked Golf,https://www.nytimes.com/2023/06/07/world/middleeast/saudi-arabia-sovereign-wealth-fund.html,2023/06/07
9,The San Andreas Fault Is Sleepy Near Los Angeles. Researchers Have an Idea Why.,https://www.nytimes.com/2023/06/07/us/san-andreas-fault-researchers.html,2023/06/07
10,"Jay Johnston, ‘Bob’s Burgers’ Actor, Is Arrested on Jan. 6 Charges",https://www.nytimes.com/2023/06/07/us/politics/jay-johnston-actor-january-6.html,2023/06/07
11,Restaurants are losing reservations and closing their outdoor dining.,https://www.nytimes.com/live/2023/06/07/us/canada-wildfires-air-quality-smoke/restaurants-are-losing-reservations-and-closing-their-outdoor-dining,2023/06/07
12,"Closings, cancellations, delays: Smoke upends New York life.",https://www.nytimes.com/live/2023/06/07/us/canada-wildfires-air-quality-smoke/closings-cancellations-delays-smoke-upends-new-york-life,2023/06/07
13,"Yes, We’re in an L.G.B.T.Q. State of Emergency",https://www.nytimes.com/2023/06/07/opinion/pride-lgbtq-laws.html,2023/06/07
14,A $1 Trillion Borrowing Binge Looms After Debt Limit Standoff,https://www.nytimes.com/2023/06/07/business/economy/debt-ceiling-borrowing-binge.html,2023/06/07
15,"George Winston, Pianist With a Soothing ‘New Age’ Sound, Dies at 74",https://www.nytimes.com/2023/06/07/arts/music/george-winston-dead.html,2023/06/07
16,House Is Paralyzed as Far-Right Rebels Continue Mutiny Against McCarthy,https://www.nytimes.com/2023/06/07/us/politics/mccarthy-house-republicans-mutiny.html,2023/06/07
17,"In Ohio, smoke postpones relief after a potent allergy season.",https://www.nytimes.com/live/2023/06/07/us/canada-wildfires-air-quality-smoke/in-ohio-smoke-postpones-relief-after-a-potent-allergy-season,2023/06/07
18,"With Migrant Flights, DeSantis Shows Stoking Outrage Is the Point",https://www.nytimes.com/2023/06/07/us/politics/desantis-migrant-flights-outrage.html,2023/06/07
19,The Republican Silly Season Has Begun,https://www.nytimes.com/2023/06/07/opinion/republicans-2024-election-trump.html,2023/06/07
